Region,Zone,District,match_0,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13
Addis Ababa,,Addis Ketema,Addis Ketema,Addis Ketema,addis ketema kifle ketema,Addis Ketema Kifle Ketema,Addis Ketema Operational Woreda Health Office,,,,,,,,,
Addis Ababa,,Akaki,Akaki,Akaki,akaki kality kifle ketema,Akaki Kality Kifle Ketema,,,,,,,,,,
Addis Ababa,,Arada,Arada,Arada,arada kifle ketema,Arada Kifle Ketema,,,,,,,,,,
Addis Ababa,,Bole,Bole,Bole,Bole Kifle Ketema,bolle,,,,,,,,,,
Addis Ababa,,Gulelle,Gulelle,Gulelle,Gulele Kifle Ketema,gulele kifle ketema,gulelie,gulelle,,,,,,,,
Addis Ababa,,Kirkos,Kirkos,Kirkos,Cherkos kifle ketema,,,,,,,,,,,
Addis Ababa,,Kolfe,Kolfe,Kolfe,Kolfe Keraniyo Kefle Ketema,kolfe - keran,kolfe youth centre,kolfie keranio,,,,,,,,
Addis Ababa,,Lideta,Lideta,Lideta,Lideta Kifle Ketema,lideta kifle ketema,,,,,,,,,,
Addis Ababa,,Nifas Silk,Nifas Silk,Nifas Silk,Nefas Silk Lafto Kefle Ketema,nefas silk lafto kefle ketema,nifase silk lafto,nifas silk,,,,,,,,
Addis Ababa,,Yeka,Yeka,Yeka,Yeka Kifle Ketema,,,,,,,,,,,
Afar,,Abaala,Abaala,Abaala,abaala,Abala Woreda,,,,,,,,,,
Afar,,Adaar,Adaar,Adaar,adaar,Adaar Woreda,adar,adara hospital,,,,,,,,
Afar,,Afambo,Afambo,Afambo,Afambo Woreda,,,,,,,,,,,
Afar,,Afdera,Afdera,Afdera,Afdera Woreda,,,,,,,,,,,
Afar,,Amibera,Amibera,Amibera,Amibara Woreda,amibera,,,,,,,,,,
Afar,,Aregoba,Aregoba,Aregoba,Argoba Liyu Woreda,argoba special,,,,,,,,,,
Afar,,Awash Fentale,Awash Fentale,Awash Fentale,Awash Fentale Woreda,,,,,,,,,,,
Afar,,Awash Town,Awash Town,Awash Town,Awash town admin Woreda,awash town,awash city,,,,,,,,,
Afar,,Awera,Awera,Awera,awra,awera,Awura Woreda,,,,,,,,,
Afar,,Ayesaita,Ayesaita,Ayesaita,asayita,ayesaita,aysaeta,aysaita,ayssaita,Ayssaita Woreda,,,,,,
Afar,,Berahle,Berahle,Berahle,Berhale Woreda,berahle,berahile,,,,,,,,,
Afar,,Bidu,Bidu,Bidu,bidu,bidu Woreda,,,,,,,,,,
Afar,,Chifra,Chifra,Chifra,chifra,Chefera woreda,,,,,,,,,,
Afar,,Dalifage,Dalifage,Dalifage,dalifage,dalifaghe,Dalifaghe Woreda,dalifagi hospital,,,,,,,,
Afar,,Dallol,Dallol,Dallol,dallol,Dalol Woreda,dalul,,,,,,,,,
Afar,,Dewe,Dewe,Dewe,Dewe Woreda,,,,,,,,,,,
Afar,,Dubti,Dubti,Dubti,Dubti Woreda,dubti hospital,,,,,,,,,,
Afar,,Dulecha,Dulecha,Dulecha,Dulecha Woreda,dulacha,dulech,,,,,,,,,
Afar,,Elidar,Elidar,Elidar,Elidar Woreda,,,,,,,,,,,
Afar,,Erbti,Erbti,Erbti,Erebti Woreda,erbti,,,,,,,,,,
Afar,,Ewa,Ewa,Ewa,Ewa Woreda,,,,,,,,,,,
Afar,,Gelealu,Gelealu,Gelealu,gelealu,buremodaytu,Buremodaytu Woreda,,,,,,,,,
Afar,,Gewane,Gewane,Gewane,Gewane Woreda,,,,,,,,,,,
Afar,,Gulina,Gulina,Gulina,Gulina Woreda,gulina,,,,,,,,,,
