FacilityName,POINT_X,POINT_Y,Region,District,ActivityHP,ValueID,LabelID,FederalID,SNO,RegionID,ZoneID,DistrictID,LocationID,Month,Year,Value,Level,FACILITYTYPE
Finiwa Health Center,0,0,Amhara,Sehala Woreda,1d = AZT-3TC-EFV                          : males,443694400,3727,0,4.2.1.5.1.1.11,3,308,30806,308060022,1,2008,5,0,2
Ambisie Health Center,0,0,Amhara,Sekela Woreda,,461380431,712,0,,3,307,30705,307050022,1,2008,9,0,2
Sewne Health Center,0,0,Tigray,Saesi Tsadamba Woreda,,474299644,664,0,,1,103,10303,103030028,1,2008,10,0,2
Nurselam Sentela Health Post,0,0,Oromiya,Gursum Woreda,,482061343,291,0,,4,410,41003,4100300335,1,2008,9,0,3
Meri Health Center,9.01,38.88,Addis Ababa,Bole Kifle Ketema,,498069646,962,0,,14,0,14110,141100028,1,2008,6,0,2
Yabsana Shirar Health Center,0,0,Oromiya,Gasera Woreda,                  : females,502089133,3926,0,4.2.1.10.1.2,4,411,41106,411060024,1,2008,2,0,2
Kuni Health Center,0,0,Amhara,Jabi Tehinan Woreda,                 : females,443471698,4079,0,4.2.2.1.4.16,3,307,30709,307090028,1,2008,3,0,2
Akelie Health Center,0,0,Amhara,Gonge Kolela Woreda,,459223453,860,0,,3,307,30712,307120023,1,2008,9,0,2
Hareko Health Center,0,0,Tigray,Hintalo Wajirat Woreda,,473935027,1593,0,,1,107,10703,107030026,1,2008,4,0,2
Boku Clinic,,,Oromiya,,,481907381,476,0,,4,415,0,415010038,1,2008,9,0,6
Burqaa Jaalala Health Post,0,0,Oromiya,Guba Qoricha Woreda,25 -49 years,501514992,3017,0,1.1.1.1.2.4,4,409,40907,4090700329,1,2008,8,0,3
Tekshegn Health Center,0,0,Amhara,Delanta Woreda,Injectables,442417155,3024,0,1.1.1.2.2.2,3,304,30422,304220026,1,2008,4,0,2
Kidanemihiret Primary Clinic,,,Amhara,Zigem Town Woreda,,459358101,1378,0,,3,309,30910,309100030,1,2008,7,0,6
Kalafo Health Center,0,0,Somali,Kalafo Woreda,,473043059,895,0,,5,507,50705,507050024,1,2008,1,0,2
Kofele Health Center,7.071922,38.779663,Oromiya,Kofele Woreda,,476025334,1211,0,,4,417,41704,417040021,1,2008,1,0,2
Lukas Higher Clinic,,,Oromiya,,                            : females,499035710,3798,0,4.2.1.3.1.4,4,415,0,22,1,2008,5,0,6
Adama Science And Technology University,,,Oromiya,,                  : Females Non-pregnant,502927911,3907,0,4.2.1.9.1.1.11,4,415,0,415010034,1,2008,6,0,4
Gissa Kanaen Health Post,0,0,Amhara,Dangila Woreda,Number of children aged 6-59 months supplemented with vitamin-A,443719212,1836,0,2.5.1,3,309,30901,3090100305,1,2008,2,0,3
Zufari Health Post,0,0,Amhara,Banja Shekudad Woreda,,461472079,432,0,,3,309,30902,3090200318,1,2008,6,0,3
Shunko Health Center,0,0,Oromiya,Oda Bultum Woreda,,475834022,942,0,,4,409,40917,409170024,1,2008,0,0,2
Alem Bank Health Center,9.02,38.72,Addis Ababa,Kolfe Keraniyo Kefle Ketema,,498306496,321,0,,14,0,14103,141030022,1,2008,6,0,2
Bale,,,Oromiya,Berbere Woreda,Polio doses opened,502217486,1647,0,1.3.10.5(Opened),4,411,41114,411140025,1,2008,2,0,6
Taem Health Post,0,0,Amhara,Dega Damot Woreda,Injectables,443430215,3019,0,1.1.1.2.1.2,3,307,30707,3070700310,1,2008,10,0,3
Dembelagego Health Post,0,0,Amhara,Takusa Woreda,,460703114,541,0,,3,301,30121,3012100308,1,2008,4,0,3
Mechare Health Center,0,0,Tigray,Raya Azebo Woreda,,473809595,1266,0,,1,104,10406,104060024,1,2008,7,0,2
Dhakibor Health Center,0,0,Oromiya,Hambela Wemena Woreda,,475940319,1120,0,,4,414,41409,414090022,1,2008,10,0,2
Tekey Health Center,0,0,Tigray,Nader Adet Woreda,< 1 year: males,497202689,3925,0,4.2.1.10.1.1,1,102,10207,102070025,1,2008,0,0,2
Oda Negeya Health Post,0,0,Oromiya,Gursum Woreda,"Total new and repeat acceptors, disaggregated by method",501723269,4472,0,1.1.1.2,4,410,41003,4100300316,1,2008,7,0,3
Selam Ababa Health Post,0,0,Amhara,Hulet Eju Enese Woreda,                                                                                  : Lymphatic Filariasis,442856030,3976,0,4.2.6.1.3,3,306,30602,3060200308,1,2008,2,0,3
Ambachew Priymery Clinic,,,Amhara,Quara Woreda,,460654292,703,0,,3,301,30114,301140039,1,2008,1,0,6
Gora Herkiso Health Center,0,0,Oromiya,Sebeta Hawas Woreda,,475425899,1133,0,,4,423,42310,423100026,1,2008,7,0,2
Bule Korma Health Center,0,0,Oromiya,Teltele Woreda,,476301160,1180,0,,4,412,41212,412120022,1,2008,1,0,2
Woreda 9 Health Center,0,0,Addis Ababa,Kolfe Keraniyo Kefle Ketema,Number of HIV-positive women who get pregnant while on ART and linked to ANC,497685439,4481,0,C1.1.2.3,14,0,14103,141030024,1,2008,9,0,2
Jara Health Center,7.371032,40.512732,Oromiya,Gololcha Woreda,1a(30) = d4t(30)-3TC-NVP            : males,502068682,3717,0,4.2.1.5.1.1.1,4,411,41105,411050023,1,2008,0,0,2
Lay Gorebela Health Center,0,0,Amhara,Ankober Woreda,1g= ABC + 3TC + EFV                    : male,442661196,3733,0,4.2.1.5.1.1.17,3,305,30515,305150021,1,2008,5,0,2
Teda Health Center,12.49576,37.470306,Amhara,,,459415622,1503,0,,3,313,0,313000023,1,2008,6,0,2
Endamosa Health Center,0,0,Tigray,Erop Woreda,,473662568,1207,0,,1,103,10302,103020024,1,2008,0,0,2
Africa Primary Clinic,,,Oromiya,Haromaya Woreda,,482043802,559,0,,4,410,41006,410060075,1,2008,3,0,6
SHEDEHO HIGHER CLINIC,0,0,Addis Ababa,Nefas Silk Lafto Kefle Ketema,,498293113,828,0,,14,0,14102,141020065,1,2008,9,0,6
Basa Health Center,0,0,Oromiya,Siraro Woreda,Number of TB patients with HIV positive test  result :           Male,502983801,4204,0,4.2.4.1.3,4,417,41701,417010027,1,2008,5,0,2
Chaba Health Post,0,0,Amhara,Guagusa Shikuda Woreda,Polio doses given (all ages),443854624,30,0,1.3.10.5(Given),3,309,30907,3090700311,1,2008,2,0,3
Semarga Health Center,0,0,Amhara,Yilmana Densa Woreda,,461356146,410,0,,3,307,30703,307030028,1,2008,7,0,2
May Weini  Health Center,0,0,Tigray,Kafta Humera Woreda,,474502107,306,0,,1,105,10501,105010029,1,2008,6,0,2
Kokosa Primary Hospital,,,Oromiya,,,481671868,791,0,,4,417,0,417070012,1,2008,1,0,1
Kossa SF,,,Oromiya,Limu Kosa Woreda,MDR  TB cases age:   >=15years                 Males,499883177,4146,0,4.2.2.13.2.3,4,404,40402,404020031,1,2008,6,0,6
Duufaa Health Post,0,0,Oromiya,Walmara Woreda,OPD visits >= 15: repeat Female,503648311,175,0,1.1.12,4,423,42301,4230100320,1,2008,8,0,3
Mitku Medium Clinic,,,Beneshangul Gumuz,Assosa Town Administration,                                                           : female,444750533,3730,0,4.2.1.5.1.1.14,6,603,60308,603080030,1,2008,2,0,6
Beke Health Center,0,0,Amhara,Kalu Woreda,,460963663,336,0,,3,304,30407,304070025,1,2008,5,0,2
Heba Hidha Health Center,0,0,Oromiya,Wadera Woreda,,475925464,1564,0,,4,414,41404,414040022,1,2008,4,0,2
Tirogudo Health Post,,,Oromiya,Chinaksen Woreda,,476229215,1268,0,,4,410,41015,410150036,1,2008,2,0,2
Chirecha Wenberi,,,Oromiya,Woliso Rural Woreda,,481498210,543,0,,4,413,41303,413030027,1,2008,8,0,2
Ayira Health Center,0,0,Oromiya,Ayira Woreda,< 5 years : males,499315723,3199,0,4.2.5.3.1.1,4,401,40120,401200021,1,2008,6,0,2
Hursa Health Center,0,0,Oromiya,Adaba Woreda,Rota doses given (all ages),503211241,3008,0,1.3.10.4(Given),4,417,41710,417100029,1,2008,10,0,2
kebele1 Health Post,0,0,Amhara,Sekota Town Woreda,Number of children under one year of age who have received BCG vaccine,443704530,3000,0,1.3.0,3,308,30807,3080700302,1,2008,7,0,3
Gula Health Center,0,0,Amhara,Dawa Chefa Woreda,,461524808,652,0,,3,310,31001,310010023,1,2008,1,0,2
Qollo Sirri Health Center,0,0,Oromiya,Bedele Zuria Woreda,,475588251,1362,0,,4,403,40322,403220021,1,2008,7,0,2
Haluu Health Post,0,0,Oromiya,Halu Woreda,,480961193,282,0,,4,403,40319,4031900302,1,2008,0,0,3
Woreda 2 Health Center,0,0,Addis Ababa,Nefas Silk Lafto Kefle Ketema,,498006238,1174,0,,14,0,14102,141020029,1,2008,1,0,2
Hangadhi Health Post,,,Oromiya,Shakiso Woreda,15-19 years,502774755,3015,0,1.1.1.1.2.2,4,414,41405,414050030,1,2008,1,0,3
Han Health Center,11.589168,37.386368,Amhara,,Number of adults and children with HIV infection newly started on ART,444014614,4503,0,C1.4.2.1.6,3,311,0,311000023,1,2008,3,0,2
Abyot Fana Health Center,0,0,Amhara,Mecha Woreda,,461370234,476,0,,3,307,30704,307040029,1,2008,7,0,2
D_G_S_Keriyo Health Post,0,0,Oromiya,Sululta Woreda,,480685204,288,0,,4,423,42305,4230500302,1,2008,7,0,3
Shirela Health Center,0,0,Tigray,Welkayit Woreda,25-49 years : males,497527170,3687,0,4.2.1.2.1.13,1,105,10502,105020025,1,2008,1,0,2
Cirato Health Post,0,0,Oromiya,Dillo Woreda,Total number of maternal deaths in the community,502496264,4475,0,1.1.11.4,4,412,41218,4121800302,1,2008,10,0,3
Ayalew Medium Clinic,,,Amhara,Awabel Woreda,5-9 years : males,443118864,3872,0,4.2.1.6.5,3,306,30612,306120027,1,2008,10,0,6
Selihom Ophthalmic Special Primary Clinic,,,Amhara,,,459462978,854,0,,3,314,0,314000049,1,2008,2,0,6
Chechere Health Center,0,0,Tigray,Tselemt Woreda,,473408145,1194,0,,1,101,10106,101060022,1,2008,8,0,2
Yarari Abayi Health Post,0,0,Oromiya,Akaki Woreda,,480731395,353,0,,4,423,42306,4230600317,1,2008,2,0,3
Lat Health Center,0,0,Tigray,Ofla Woreda,Confirmed MDR- RR/ TB cases  put on second line treatment : Male,497459954,4149,0,4.2.2.14.1,1,104,10408,104080025,1,2008,9,0,2
01 HEALTH POST,,,Oromiya,Mesela Woreda,Number of bacteriologically confirmed RELAPSE  PTB cases detected in the quarter,501468463,4516,0,4.2.2.1.4,4,409,40904,409040030,1,2008,5,0,3
Gorar Helath Center,0,0,Amhara,Gishe Woreda,5-9 years : males,442540037,3929,0,4.2.1.10.1.5,3,305,30506,305060023,1,2008,6,0,2
Kidusgebriel Primary Clinic,,,Amhara,Zigem Town Woreda,,459363337,1379,0,,3,309,30910,309100034,1,2008,6,0,6
Fielweha Health Center,0,0,Tigray,Tselemt Woreda,,473417523,1214,0,,1,101,10106,101060025,1,2008,0,0,2
Koye Akale Health Post,0,0,Oromiya,Kuyu Woreda,,481361916,688,0,,4,406,40604,4060400305,1,2008,8,0,3
Haro Health Center,0,0,Oromiya,Haro Limu Woreda,                                                                    : Females,499525420,4442,0,4.2.2.12.1.4,4,402,40220,402200021,1,2008,6,0,2
Samo Health Center,0,0,Oromiya,Amuru Woreda,Treatment completed P/Neg TB     ,503588500,4103,0,4.2.2.3.2.1.1,4,419,41909,419090024,1,2008,8,0,2
Dessie Maremia Betoch Primary Clinic,,,Amhara,,Births Attended by skilled attendant,444187934,7,0,1.1.5.1,3,314,0,314000050,1,2008,8,0,4
Dawlo Health Center,0,0,Amhara,Kalu Woreda,,460963107,313,0,,3,304,30407,304070024,1,2008,10,0,2
Buluk Health Center,0,0,Oromiya,Arena Buluq Woreda,,475335989,1006,0,,4,411,41111,411110023,1,2008,3,0,2
Burka Sayo Health Center,8.7,41.65,Oromiya,Yubdo Woreda,,475744383,1387,0,,4,401,40112,401120022,1,2008,5,0,2
Amanuel Small Clinic,,,Oromiya,Hambela Wemena Woreda,,482156461,561,0,,4,414,41409,414090041,1,2008,9,0,6
Jeda Health Center,0,0,Oromiya,Bele Gasgar Woreda,"Did the facility participate on EQA during the quarter? (If yes, enter 1; If no, enter 0)  ",501358682,4126,0,4.2.2.10.1,4,408,40823,408230022,1,2008,8,0,2
Abuye Gurba Health Center,0,0,Amhara,Wogidi Woreda,                 : females,442283288,4022,0,4.2.2.1.1.16,3,304,30416,304160023,1,2008,7,0,2
Sireale Health Center,0,0,Amhara,Sekota Woreda,,459254049,1217,0,,3,308,30802,308020023,1,2008,10,0,2
Amir Nur Health Center,0,0,Harari,Amir Nur Woreda,,472969464,782,0,,13,1302,130201,1302010013,1,2008,1,0,2
Abomsa District Hospital,8.480363,39.839957,Oromiya,Merti Woreda,,481018977,338,0,,4,408,40801,408010011,1,2008,2,0,1
G_Warqa Health Post,0,0,Oromiya,Meda Welabu Woreda,,481849390,655,0,,4,411,41113,4111300303,1,2008,10,0,3
Ugaz Health Center,0,0,Oromiya,Haromaya Woreda,                  : females,501766526,3713,0,4.2.1.4.1.19,4,410,41006,410060024,1,2008,5,0,2
Taket Health Post,0,0,Amhara,Wogidi Woreda,Amoxicillin,442302320,140,0, ,3,304,30416,3041600317,1,2008,1,0,3
Kurkur Health Center,0,0,Amhara,,,459435419,1554,0,,3,314,0,314000027,1,2008,1,0,2
Alem Ketema Health Center,10.0889,39.0354,Amhara,Merhabete Woreda,,459002156,896,0,,3,305,30502,305020024,1,2008,3,0,2
Hiwot Clinic,,,Oromiya,Doranii Woreda,,480986631,432,0,,4,403,40324,403240031,1,2008,0,0,6
Bondawo Health Center,0,0,Oromiya,Bure Woreda,15-19 years : males,499699365,4563,0,4.2.1.9.2.7,4,403,40312,403120023,1,2008,4,0,2
Sirba Loyya Health Post,0,0,Oromiya,Hababo Guduru Woreda,Repeat acceptors by age,503529278,4,0,1.1.1.1.2,4,419,41904,4190400305,1,2008,0,0,3
Abenezer Midium Clinic,,,Addis Ababa,Nefas Silk Lafto Kefle Ketema,,514967250,695,0,,14,0,14102,141020102,2,2008,3,0,6
Shebelie Health Post,0,0,Amhara,Gonge Kolela Woreda,,520152711,296,0,,3,307,30712,3071200321,2,2008,2,0,3
Melbena Health Center,0,0,Oromiya,Miyo Woreda,Number of institutional Maternal deaths,555963157,15,0,1.1.10.1,4,412,41220,412200022,2,2008,8,0,2
Dhadhamane Health Center,7.1944929,38.5976717,Somali,Babile Woreda,First Line Regimen,551623801,3716,0,4.2.1.5.1.1,5,502,50201,502010022,2,2008,0,0,2
Tena Adame Primary Clinic,,,Oromiya,Adami Tulu Jido Kombolcha Woreda,,543488034,281,0,,4,407,40708,407080178,2,2008,7,0,6
Shakiso Health Center,5.773677,38.911323,Oromiya,Shakiso Town Woreda,,546271099,1604,0,,4,414,41490,414050024,2,2008,3,0,2
Sasit Health Center,0,0,Amhara,Mojana Woreda,,452827270,1810,0,,3,305,30511,305110021,2,2008,8,0,2
MATI HEALTH POST,,,Amhara,Basona Werana Woreda,,519336549,311,0,,3,305,30519,305190043,2,2008,9,0,3
