RegionName,ZoneName,DistrictName,Year,Epidemic_Week,Month,Total Malaria Confirmed and Clinical,TMalaria_OutP_Cases,TMalaria_InP_Cases,TMalaria_InP_Deaths,TMSuspected Fever Examined,PosMalaria_RDT_or_Microscopy_PF_OutP_Cases,PosMalaria_RDT_or_Microscopy_PV_OutP_Cases,Meningits total Cases,Meningitis_OutP_Cases,Meningitis_InP_Cases,Meningitis_InP_Deaths,Dysentery_total Cases,Dysentery_OutP_Cases,Dysentery_InP_Cases,Dysentery_InP_Deaths,Typhoid fever Total cases,Typhoid fever_OutP_Cases,Typhoid fever_InP_Cases,Typhoid fever_InP_Deaths,Relapsing fever_total Cases,Relapsing fever_OutP_Cases,Relapsing fever_InP_Cases,Relapsing fever_InP_Deaths,Epidemic Typhus Total Cases,Epidemic Typhus_OutP_Cases,Epidemic Typhus_InP_Cases,Epidemic Typhus_InP_Deaths,Malnutrition_total Cases,Malnutrition_OutP_Cases,Malnutrition_InP_Cases,Malnutrition_InP_Deaths,AFP/Polio_Cases,AFP/Polio_Deaths,Anthrax_Cases,Anthrax_Deaths,Avian_Human_Influenza_Cases,Avian_Human_Influenza_Deaths,Cholera/AWD_Cases,Cholera/AWD_Deaths,Dracunculiasis/Guinea worm_Cases,Dracunculiasis/Guinea worm_Deaths,Measles_Cases,Measles_Deaths,Neonatal Tetanus_Cases,Neonatal Tetanus_Deaths,Pandemic Influenza_Cases,Pandemic Influenza_Deaths,Rabies_Cases,Rabies_Deaths,SARS_Cases,SARS_Deaths,Small pox_Cases,Small pox_Deaths,Viral hemorrhagic fever_Cases,Viral hemorrhagic fever_Deaths,Yellow fever_Cases,Yellow fever_Deaths,Maternal_Death,Other 1_Name,Other 1_Cases,Other 1_Deaths,Other 2_Name,Other 2_Cases,Other 2_Deaths,Other 3_Name,Other 3_Cases,Other 3_Deaths,No-of-Gov_HPs-expected-by-RHB,No-of-Gov_HCs-expected-by-RHB,No-of-Gov_Hosps-expected-by-RHB,No-of-NGOHF-expected-by-RHB,No-of-OtherHFs-expected-by-RHB,No-of-Gov_HPs-Reported,No-of-Gov_HCs-Reported,No-of-Gov_Hosps-Reported,No-of-NGOHFs-Reported,No-of-OthersHF-Reported,All-Total-sites-Reported,All-Total-sites-Expected-by-RHB,Total-Gov-sites-Reported,Date_Sent,Date_Received,Date_WeekExpected,Timeliness,EthiopianMonth,EthMonNum,EthYear
Addis Ababa,Addis Ketema,Addis Ketema,2015,35,August,8,0,2,2,8,0,10,4,10,2,7,5,6,2,9,0,2,1,6,5,6,4,6,4,10,0,7,4,3,8,4,8,3,5,0,6,4,2,8,4,10,3,9,10,9,2,10,4,7,5,4,2,3,2,6,4,0,8,9,6,8,1,9,8,9,8,3,8,6,5,7,7,2,9,3,5,6,5,9,1,7/9/15,7/9/15,9/4/15,L,Nehase,12,2007
Addis Ababa,Akaki Kaliti,Akaki Kaliti,2015,18,April,8,5,5,5,2,1,0,10,5,7,9,0,7,9,9,1,9,2,5,7,0,5,10,7,7,2,1,7,5,7,4,7,3,0,3,2,4,8,3,7,0,8,10,1,9,9,7,9,9,10,10,5,5,5,6,9,7,10,0,10,0,3,2,8,7,5,4,1,7,1,9,7,7,1,3,7,8,1,7,8,7/5/15,7/5/15,5/8/15,T,Miyazia,8,2007
Addis Ababa,Akaki Kaliti,Akaki Kaliti,2015,39,September,7,1,4,8,7,7,3,6,8,1,9,0,2,2,7,10,1,10,9,7,2,9,7,7,2,4,2,1,8,7,3,8,8,3,3,1,8,9,6,5,5,8,2,2,2,5,10,4,10,1,0,2,2,3,10,2,2,5,6,7,2,5,8,5,1,1,7,0,3,7,10,9,10,6,1,1,9,4,7,6,1/10/15,1/10/15,10/2/15,T,Meskerem,1,2008
Addis Ababa,Akaki Kaliti,Tirunesh Bejing Hospital,2015,42,October,0,10,3,3,3,2,9,2,7,8,9,3,5,1,4,3,1,1,10,9,6,2,8,7,8,9,6,6,5,5,7,6,6,4,8,5,3,9,4,4,7,4,6,10,5,0,4,10,6,7,5,1,7,2,6,10,8,8,3,1,10,10,3,0,0,3,10,2,2,6,7,10,9,3,4,10,0,7,1,2,26/10/15,26/10/15,10/23/15,L,Teqemt,2,2008
Addis Ababa,Arada,Arada,2015,28,July,0,10,4,6,1,1,0,7,3,2,6,0,5,10,7,5,4,2,7,8,1,4,7,3,4,2,5,0,8,4,0,2,6,9,1,0,3,1,6,10,10,10,8,7,8,9,7,1,0,0,2,3,4,6,0,10,3,10,10,6,7,7,10,0,4,8,7,0,4,0,0,9,2,3,3,2,5,8,10,6,20/07/15,20/07/15,7/17/15,L,Hamle,11,2007
Addis Ababa,Arada,Arada,2015,48,November,8,4,10,1,7,3,1,10,3,7,10,2,8,9,1,0,6,10,7,8,5,1,3,3,0,5,0,1,7,2,0,4,9,9,3,3,8,10,7,5,3,10,4,4,4,1,2,6,4,4,4,7,1,4,1,3,8,2,0,4,0,2,3,5,10,3,5,8,1,0,10,4,8,10,2,2,7,1,3,4,3/12/15,3/12/15,12/4/15,T,Hedar,3,2008
Addis Ababa,Arada,Ras Desta Damitew Hospital,2015,41,October,1,7,1,3,3,2,0,6,10,3,8,7,10,5,1,0,6,1,10,8,5,6,2,2,5,6,5,10,4,5,6,4,5,8,3,8,6,4,10,8,6,0,2,10,2,5,2,0,7,2,8,5,6,0,5,2,2,0,8,3,9,9,9,5,10,5,0,9,7,0,7,2,10,6,4,3,6,0,7,1,15/10/15,15/10/15,10/16/15,T,Teqemt,2,2008
Addis Ababa,Arada,Yekatit 12 Hospital,2015,53,December,3,4,9,10,10,10,0,5,8,6,10,2,6,3,8,9,1,6,0,6,6,5,9,0,4,3,9,3,7,4,5,0,10,5,1,1,6,3,6,10,0,3,0,1,1,4,4,9,5,9,2,2,10,3,4,6,4,1,10,9,9,3,10,4,6,3,7,9,0,9,0,10,7,0,6,9,7,8,3,4,11/1/16,11/1/16,1/8/16,L,Tahesas,4,2008
Addis Ababa,Bole,Bole,2015,36,September,9,7,7,2,2,10,4,9,1,4,4,10,6,8,1,4,10,9,1,9,8,8,7,6,3,4,4,3,7,5,2,2,0,8,2,3,4,5,2,8,4,0,7,9,10,8,4,7,8,9,8,0,4,9,7,7,8,3,3,3,1,9,1,5,0,9,2,8,9,10,6,9,5,0,0,0,0,8,5,4,10/9/15,10/9/15,9/11/15,T,Meskerem,1,2008
Addis Ababa,Chirkos,Chirkos,2015,19,May,6,10,6,7,7,7,3,2,4,5,7,0,1,7,1,3,2,9,0,7,9,8,7,2,7,0,2,3,3,4,6,8,7,9,5,7,10,0,5,3,4,1,9,3,9,0,10,4,9,3,4,3,6,5,3,6,5,2,10,7,10,8,4,2,2,5,1,0,8,4,3,7,8,6,10,9,9,5,4,1,28/05/15,28/05/15,5/15/15,L,Ginbot,9,2007
