District Name, Date, FacilityName (HMIS), POINT_X (HMIS), POINT_Y (HMIS), Region (HMIS), District (HMIS), ActivityHP (HMIS), ValueID (HMIS), LabelID (HMIS), FederalID (HMIS), SNO (HMIS), RegionID (HMIS), ZoneID (HMIS), DistrictID (HMIS), LocationID (HMIS), Month (HMIS), Year (HMIS), Value (HMIS), Level (HMIS), FACILITYTYPE (HMIS), RegionName (PHEM), ZoneName (PHEM), DistrictName (PHEM), Year (PHEM), Epidemic_Week (PHEM), Month (PHEM), Total Malaria Confirmed and Clinical (PHEM), TMalaria_OutP_Cases (PHEM), TMalaria_InP_Cases (PHEM), TMalaria_InP_Deaths (PHEM), TMSuspected Fever Examined (PHEM), PosMalaria_RDT_or_Microscopy_PF_OutP_Cases (PHEM), PosMalaria_RDT_or_Microscopy_PV_OutP_Cases (PHEM), Meningits total Cases (PHEM), Meningitis_OutP_Cases (PHEM), Meningitis_InP_Cases (PHEM), Meningitis_InP_Deaths (PHEM), Dysentery_total Cases (PHEM), Dysentery_OutP_Cases (PHEM), Dysentery_InP_Cases (PHEM), Dysentery_InP_Deaths (PHEM), Typhoid fever Total cases (PHEM), Typhoid fever_OutP_Cases (PHEM), Typhoid fever_InP_Cases (PHEM), Typhoid fever_InP_Deaths (PHEM), Relapsing fever_total Cases (PHEM), Relapsing fever_OutP_Cases (PHEM), Relapsing fever_InP_Cases (PHEM), Relapsing fever_InP_Deaths (PHEM), Epidemic Typhus Total Cases (PHEM), Epidemic Typhus_OutP_Cases (PHEM), Epidemic Typhus_InP_Cases (PHEM), Epidemic Typhus_InP_Deaths (PHEM), Malnutrition_total Cases (PHEM), Malnutrition_OutP_Cases (PHEM), Malnutrition_InP_Cases (PHEM), Malnutrition_InP_Deaths (PHEM), AFP/Polio_Cases (PHEM), AFP/Polio_Deaths (PHEM), Anthrax_Cases (PHEM), Anthrax_Deaths (PHEM), Avian_Human_Influenza_Cases (PHEM), Avian_Human_Influenza_Deaths (PHEM), Cholera/AWD_Cases (PHEM), Cholera/AWD_Deaths (PHEM), Dracunculiasis/Guinea worm_Cases (PHEM), Dracunculiasis/Guinea worm_Deaths (PHEM), Measles_Cases (PHEM), Measles_Deaths (PHEM), Neonatal Tetanus_Cases (PHEM), Neonatal Tetanus_Deaths (PHEM), Pandemic Influenza_Cases (PHEM), Pandemic Influenza_Deaths (PHEM), Rabies_Cases (PHEM), Rabies_Deaths (PHEM), SARS_Cases (PHEM), SARS_Deaths (PHEM), Small pox_Cases (PHEM), Small pox_Deaths (PHEM), Viral hemorrhagic fever_Cases (PHEM), Viral hemorrhagic fever_Deaths (PHEM), Yellow fever_Cases (PHEM), Yellow fever_Deaths (PHEM), Maternal_Death (PHEM), Other 1_Name (PHEM), Other 1_Cases (PHEM), Other 1_Deaths (PHEM), Other 2_Name (PHEM), Other 2_Cases (PHEM), Other 2_Deaths (PHEM), Other 3_Name (PHEM), Other 3_Cases (PHEM), Other 3_Deaths (PHEM), No-of-Gov_HPs-expected-by-RHB (PHEM), No-of-Gov_HCs-expected-by-RHB (PHEM), No-of-Gov_Hosps-expected-by-RHB (PHEM), No-of-NGOHF-expected-by-RHB (PHEM), No-of-OtherHFs-expected-by-RHB (PHEM), No-of-Gov_HPs-Reported (PHEM), No-of-Gov_HCs-Reported (PHEM), No-of-Gov_Hosps-Reported (PHEM), No-of-NGOHFs-Reported (PHEM), No-of-OthersHF-Reported (PHEM), All-Total-sites-Reported (PHEM), All-Total-sites-Expected-by-RHB (PHEM), Total-Gov-sites-Reported (PHEM), Date_Sent (PHEM), Date_Received (PHEM), Date_WeekExpected (PHEM), Timeliness (PHEM), EthiopianMonth (PHEM), EthMonNum (PHEM), EthYear (PHEM)
, 2005-11, Begi District Hospital, 9.342198, 34.52737, Oromiya, , , 50449106, 1549, 0, , 4, 401, 0, 401160011, 11, 2005, 9, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2005-11, Gelemso Zonal Hospital, 8.809524, 40.519851, Oromiya, , , 50673381, 1462, 0, , 4, 409, 0, 409080011, 11, 2005, 3, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2005-11, Jimma Univeristy Hospital, 7.677733, 36.854166, Oromiya, , , 51120429, 2410, 0, , 4, 416, 0, 4160012, 11, 2005, 9, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2005-11, Maraki health center, 12.586994, 37.453275, Amhara, , , 2007578, 117, 0, , 3, 313, 0, 313000028, 11, 2005, 1, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2005-12, Haromaya Town Hospital, 0, 0, Oromiya, , , 50459398, 1096, 0, , 4, 410, 0, 410210021, 12, 2005, 4, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-10, Workamlia Health Post, 0, 0, Amhara, , , 66581998, 355, 0, , 3, 311, 0, 31100305, 10, 2006, 4, 0, 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-11, Adwa Hospital, 14.195561, 38.883662, Tigray, , , 85633060, 1140, 0, , 1, 0, 0, 10004, 11, 2006, 9, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-11, Betel Medium Clinic, , , Amhara, , , 138085394, 1606, 0, , 3, 314, 0, 314000056, 11, 2006, 5, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-11, Dr Azanaw H Surgery Clinic, , , Amhara, , , 148757961, 407, 0, , 3, 311, 0, 311000058, 11, 2006, 7, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-11, Gara Mulata District Hospital, 0, 0, Oromiya, , Number of post abortion/emergency care, 396592813, 4477, 0, 1.1.9.2, 4, 410, 0, 410160011, 11, 2006, 9, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-12, Metema Hospital, 12.770101, 36.408988, Amhara, , , 135828486, 1282, 0, , 3, 301, 0, 301000013, 12, 2006, 2, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-12, SOS, , , Oromiya, , , 339733019, 1224, 0, , 4, 420, 0, 420000025, 12, 2006, 9, 0, 4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-2, Segno Gebeya Health Center, 10.875108, 39.641669, Amhara, , , 12850382, 1418, 0, , 3, 314, 0, 314000023, 2, 2006, 5, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-3, Hewo Hospital, 13.478, 39.545, Tigray, , , 51827853, 1389, 0, , 1, 0, 0, 10013, 3, 2006, 9, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-3, Mekele Hospital, 13.502663, 39.487387, Tigray, , , 51971777, 1179, 0, , 1, 0, 0, 10005, 3, 2006, 1, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-4, Ethio General Hospital, , , Amhara, , , 13048071, 890, 0, , 3, 314, 0, 314000034, 4, 2006, 1, 0, 7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-4, Ginbot 20 Health Center, 0, 0, Amhara, , , 12275446, 919, 0, , 3, 311, 0, 311000029, 4, 2006, 3, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
